,"Median household income (in 2017 dollars), 2013-2017","Median gross rent, 2013-2017"
AR,"$43,813 ",$709 
CA,"$67,169 ","$1,358 "
IL,"$61,229 ",$952 
KS,"$55,477 ",$801 
MS,"$42,009 ",$740 
OH,"$52,407 ",$764 
TX,"$57,051 ",$952 
AL,"$46,472 ",$747 
IA,"$56,570 ",$740 
LA,"$46,710 ",$825 
MN,"$65,699 ",$906 
MO,"$51,542 ",$784 
NE,"$56,675 ",$773 
AZ,"$53,510 ",$972 
CO,"$65,458 ","$1,125 "
IN,"$52,182 ",$782 
MI,"$52,668 ",$824 
MT,"$50,801 ",$751 
NY,"$62,765 ","$1,194 "
OR,"$56,119 ",$988 
VA,"$68,766 ","$1,166 "
WY,"$60,938 ",$828 
NC,"$50,320 ",$844 
OK,"$49,767 ",$766 
TN,"$48,708 ",$808 
WI,"$56,759 ",$813 
AK,"$76,114 ","$1,200 "
VT,"$57,808 ",$945 
ND,"$61,285 ",$775 
GA,"$52,977 ",$927 
ME,"$53,024 ",$808 
RI,"$61,043 ",$957 
WV,"$44,061 ",$681 
ID,"$50,985 ",$792 
SD,"$54,126 ",$696 
NM,"$46,718 ",$809 
WA,"$66,174 ","$1,120 "
PA,"$56,951 ",$885 
FL,"$50,883 ","$1,077 "
UT,"$65,325 ",$948 
KY,"$46,535 ",$713 
NH,"$71,305 ","$1,052 "
SC,"$48,781 ",$836 
NV,"$55,434 ","$1,017 "
HI,"$74,923 ","$1,507 "
NJ,"$76,475 ","$1,249 "
CT,"$73,781 ","$1,123 "
MD,"$78,916 ","$1,311 "
MA,"$74,167 ","$1,173 "
DE,"$63,036 ","$1,076 "
DC,"$77,649 ","$1,424 "
US,"$57,652 ",$982 
